HMD,TMP,PRS,MVT,IND,NH3,CO2,DST
29.86,36.98,1011.61,0.0,66.68,396.0,432.0,0.0
28.95,36.87,1011.62,0.0,67.42,405.0,430.0,0.0
30.2,37.01,1011.59,0.0,67.26,395.0,423.0,0.0
29.51,36.94,1011.6,0.0,66.96,392.0,424.0,0.0
29.71,37.09,1011.62,0.0,66.79,400.0,430.0,0.0
28.95,37.05,1011.6,0.0,66.81,393.0,429.0,0.0
29.98,37.07,1011.62,0.0,66.77,398.0,429.0,0.0
29.86,37.14,1011.63,0.0,66.84,400.0,430.0,0.0
29.14,37.1,1011.63,0.0,66.44,394.0,425.0,0.0
29.23,37.14,1011.63,0.0,66.7,401.0,431.0,0.0
29.47,37.16,1011.61,0.0,66.85,393.0,422.0,0.0
28.33,37.14,1011.58,0.0,66.65,392.0,422.0,0.0
29.45,37.16,1011.55,0.0,66.94,391.0,430.0,0.0
28.77,37.27,1011.56,0.0,66.65,396.0,428.0,0.0
28.24,37.12,1011.6,0.0,67.43,396.0,427.0,0.0
27.1,37.29,1011.61,0.0,67.09,395.0,423.0,0.0
28.49,37.27,1011.59,0.0,67.4,402.0,434.0,0.0
29.12,37.2,1011.58,0.0,67.27,389.0,424.0,0.0
28.89,37.32,1011.59,0.0,67.72,400.0,430.0,0.0
28.62,37.3,1011.62,0.0,67.51,394.0,426.0,0.0
29.0,37.34,1011.59,0.0,67.35,400.0,429.0,0.0
29.49,37.29,1011.6,0.0,66.94,392.0,426.0,0.0
29.23,37.47,1011.61,0.0,66.72,391.0,424.0,0.0
28.86,37.41,1011.55,0.0,66.36,396.0,431.0,0.0
27.99,37.4,1011.61,0.0,66.16,400.0,431.0,0.0
28.26,37.43,1011.63,0.0,66.03,396.0,432.0,0.0
30.06,37.47,1011.63,0.0,66.11,399.0,432.0,0.0
28.86,37.49,1011.61,0.0,66.08,399.0,428.0,0.0
26.3,37.41,1011.59,0.0,66.1,396.0,432.0,0.0
26.15,37.5,1011.62,0.0,66.14,399.0,430.0,0.0
27.99,37.43,1011.63,0.0,66.45,399.0,431.0,0.0
30.21,37.49,1011.6,0.0,66.24,394.0,428.0,0.0
28.4,37.56,1011.59,0.0,66.12,389.0,423.0,0.0
29.87,37.6,1011.56,0.0,66.08,399.0,428.0,0.0
28.43,37.76,1011.53,0.0,66.38,400.0,431.0,0.0
27.33,37.54,1011.58,0.0,66.72,393.0,431.0,0.0
29.15,37.61,1011.6,0.0,67.02,394.0,422.0,0.0
28.81,37.63,1011.54,0.0,67.03,398.0,431.0,0.0
